Aruba	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Aruba
Central African Republic	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Central_African_Republic
Canada	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Canada
Cocos (Keeling) Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Cocos_(Keeling)_Islands
Switzerland	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Switzerland
Chile	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Chile
China	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/China
Ivory Coast	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Ivory_Coast
Cameroon	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Cameroon
DR Congo	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Republic of the Congo	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Republic_of_the_Congo
Cook Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Cook_Islands
Colombia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Colombia
Comoros	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Comoros
Cape Verde	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Cape_Verde
Costa Rica	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Costa_Rica
Cuba	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Cuba
Curaçao	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Cura%C3%A7ao
Christmas Island	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Christmas_Island
Cayman Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Cayman_Islands
Cyprus	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Cyprus
Czechia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Czech_Republic
Germany	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Germany
Djibouti	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Djibouti
Dominica	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Dominica
Denmark	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Denmark
Dominican Republic	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Dominican_Republic
Algeria	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Algeria
Ecuador	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Ecuador
Egypt	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Egypt
Eritrea	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Eritrea
Western Sahara	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Western_Sahara
Spain	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Spain
Estonia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Estonia
Ethiopia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Ethiopia
Finland	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Finland
Fiji	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Fiji
Falkland Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Falkland_Islands
France	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/France
Faroe Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Faroe_Islands
Micronesia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Micronesia
Gabon	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Gabon
United Kingdom	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/United_Kingdom
Georgia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Georgia
Guernsey	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Guernsey
Ghana	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Ghana
Gibraltar	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Gibraltar
Guinea	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Guinea
Guadeloupe	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Guadeloupe
Gambia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/The_Gambia
Guinea-Bissau	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Guinea-Bissau
Equatorial Guinea	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Equatorial_Guinea
Greece	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Greece
Grenada	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Grenada
Greenland	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Greenland
Guatemala	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Guatemala
French Guiana	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/French_Guiana
Guam	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Guam
Guyana	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Guyana
Hong Kong	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Hong_Kong
Heard Island and McDonald Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Heard_Island_and_McDonald_Islands
Honduras	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Honduras
Croatia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Croatia
Haiti	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Haiti
Hungary	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Hungary
Indonesia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Indonesia
Isle of Man	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Isle_of_Man
India	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/India
British Indian Ocean Territory	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/British_Indian_Ocean_Territory
Ireland	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Ireland
Iran	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Iran
Iraq	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Iraq
Iceland	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Iceland
Israel	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Israel
Italy	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Italy
Jamaica	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Jamaica
Jersey	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Jersey
Jordan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Jordan
Japan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Japan
Kazakhstan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Kazakhstan
Kenya	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Kenya
Kyrgyzstan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Kyrgyzstan
Cambodia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Cambodia
Kiribati	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Kiribati
Saint Kitts and Nevis	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
South Korea	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/South_Korea
Kosovo	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Kosovo
Kuwait	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Kuwait
Laos	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Laos
Lebanon	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Lebanon
Liberia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Liberia
Libya	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Libya
Saint Lucia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Saint_Lucia
Liechtenstein	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Liechtenstein
Sri Lanka	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Sri_Lanka
Lesotho	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Lesotho
Lithuania	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Lithuania
Luxembourg	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Luxembourg
Latvia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Latvia
Macau	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Macau
Saint Martin	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Saint_Martin
Morocco	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Morocco
Monaco	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Monaco
Moldova	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Moldova
Madagascar	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Madagascar
Maldives	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Maldives
Mexico	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Mexico
Marshall Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Marshall_Islands
North Macedonia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/North_Macedonia
Mali	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Mali
Malta	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Malta
Myanmar	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Myanmar
Montenegro	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Montenegro
Mongolia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Mongolia
Northern Mariana Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Northern_Mariana_Islands
Mozambique	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Mozambique
Mauritania	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Mauritania
Montserrat	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Montserrat
Martinique	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Martinique
Mauritius	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Mauritius
Malawi	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Malawi
Malaysia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Malaysia
Mayotte	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Mayotte
Namibia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Namibia
New Caledonia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/New_Caledonia
Niger	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Niger
Norfolk Island	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Norfolk_Island
Nigeria	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Nigeria
Nicaragua	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Nicaragua
Niue	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Niue
Netherlands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Netherlands
Norway	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Norway
Nepal	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Nepal
Nauru	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Nauru
New Zealand	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/New_Zealand
Oman	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Oman
Pakistan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Pakistan
Panama	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Panama
Pitcairn Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Pitcairn_Islands
Peru	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Peru
Philippines	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Philippines
Palau	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Palau
Papua New Guinea	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Papua_New_Guinea
Poland	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Poland
Puerto Rico	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Puerto_Rico
North Korea	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/North_Korea
Portugal	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Portugal
Paraguay	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Paraguay
Palestine	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Palestine
French Polynesia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/French_Polynesia
Qatar	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Qatar
Réunion	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/R%C3%A9union
Romania	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Romania
Russia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Russia
Rwanda	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Rwanda
Saudi Arabia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Saudi_Arabia
Sudan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Sudan
Senegal	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Senegal
Singapore	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Singapore
South Georgia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/South_Georgia
Svalbard and Jan Mayen	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Svalbard_and_Jan_Mayen
Solomon Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Solomon_Islands
Sierra Leone	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Sierra_Leone
El Salvador	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/El_Salvador
San Marino	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/San_Marino
Somalia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Somalia
Saint Pierre and Miquelon	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Saint_Pierre_and_Miquelon
Serbia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Serbia
South Sudan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/South_Sudan
São Tomé and Príncipe	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Suriname	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Suriname
Slovakia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Slovakia
Slovenia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Slovenia
Sweden	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Sweden
Eswatini	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Eswatini
Sint Maarten	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Sint_Maarten
Seychelles	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Seychelles
Syria	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Syria
Turks and Caicos Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Turks_and_Caicos_Islands
Chad	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Chad
Togo	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Togo
Thailand	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Thailand
Tajikistan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Tajikistan
Tokelau	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Tokelau
Turkmenistan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Turkmenistan
Timor-Leste	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/East_Timor
Tonga	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Tonga
Trinidad and Tobago	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Tunisia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Tunisia
Turkey	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Turkey
Tuvalu	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Tuvalu
Taiwan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Taiwan
Tanzania	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Tanzania
Uganda	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Uganda
Ukraine	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Ukraine
United States Minor Outlying Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/United_States_Minor_Outlying_Islands
Uruguay	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Uruguay
United States	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/United_States
Uzbekistan	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Uzbekistan
Vatican City	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Vatican_City
Saint Vincent and the Grenadines	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Venezuela	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Venezuela
British Virgin Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/British_Virgin_Islands
United States Virgin Islands	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/United_States_Virgin_Islands
Vietnam	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Vietnam
Vanuatu	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Vanuatu
Wallis and Futuna	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Wallis_and_Futuna
Samoa	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Samoa
Yemen	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Yemen
South Africa	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/South_Africa
Zambia	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Zambia
Zimbabwe	 —- 	 Ссылка	 —> 	https://en.wikipedia.org/wiki/Zimbabwe
